City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
212,Sola,-13.8833,167.55,80.71,77,49,17.0,VU,scattered clouds
213,Rhymney,51.76,-3.2855,60.22,94,100,19.64,GB,light rain
214,Longyearbyen,78.2186,15.6401,37.24,75,75,14.97,SJ,broken clouds
215,Hovd,48.0056,91.6419,29.97,33,0,1.25,MN,clear sky
216,North Platte,41.1239,-100.7654,66.09,58,0,5.75,US,clear sky
217,Ostrovnoy,68.0531,39.5131,45.66,94,100,11.18,RU,overcast clouds
218,Oboyan,51.2098,36.2792,46.9,89,100,12.75,RU,overcast clouds
219,Segovia,41.1667,-4.0,59.43,36,0,3.31,ES,clear sky
220,Makarov,48.6333,142.8,43.95,45,9,13.96,RU,clear sky
221,Waipawa,-41.4122,175.5153,52.23,77,11,17.78,NZ,light rain
222,Ende,-8.8432,121.6623,84.81,71,40,4.38,ID,scattered clouds
223,Gelemso,8.8167,40.5167,58.89,82,66,3.6,ET,broken clouds
224,Dubti,11.7361,41.0853,84.09,49,98,9.51,ET,light rain
225,Honningsvag,70.9821,25.9704,42.55,75,3,12.66,NO,clear sky
226,Polunochnoye,60.8697,60.4153,41.22,78,64,2.37,RU,broken clouds
227,Zastron,-30.3023,27.084,59.63,10,60,5.19,ZA,broken clouds
228,Maralal,1.0968,36.698,57.13,78,6,6.11,KE,clear sky
229,Sirjan,29.452,55.6814,66.67,22,2,5.79,IR,clear sky
230,Kotelnich,58.3089,48.348,43.45,92,100,10.13,RU,light rain
231,Mayo,38.8876,-76.5119,51.96,95,100,5.01,US,light rain
232,Lodja,-3.4833,23.4333,68.0,99,100,1.86,CD,overcast clouds
233,Iqaluit,63.7506,-68.5145,33.53,100,75,0.0,CA,broken clouds
234,Banyuwangi,-8.2325,114.3576,80.58,79,64,5.84,ID,broken clouds
235,Yuci,37.6803,112.7319,47.95,57,20,8.95,CN,few clouds
236,Saskylakh,71.9167,114.0833,23.95,96,100,5.21,RU,light snow
237,Severo-Kurilsk,50.6789,156.125,46.13,92,100,20.8,RU,light rain
238,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,77.59,75,48,1.79,BR,scattered clouds
239,Rocha,-34.4833,-54.3333,49.23,94,0,5.1,UY,clear sky
240,Lady Frere,-31.7031,27.2329,52.36,87,100,2.24,ZA,overcast clouds
241,Taft,31.7471,54.2088,64.35,22,0,2.3,IR,clear sky
242,Mizan Teferi,6.9833,35.5833,60.53,96,100,2.75,ET,light rain
243,Bilma,18.6853,12.9164,85.64,19,0,1.21,NE,clear sky
244,Krasnyy Chikoy,50.3643,108.7512,29.28,66,28,2.8,RU,scattered clouds
245,Bousse,12.6606,-1.8922,78.55,66,97,7.16,BF,light rain
246,Buala,-8.145,159.5921,84.29,72,78,11.77,SB,light rain
247,Yola,9.2,12.4833,74.05,85,100,3.13,NG,overcast clouds
248,Xining,36.6167,101.7667,47.88,83,100,1.36,CN,overcast clouds
249,Sisimiut,66.9395,-53.6735,29.08,74,7,8.1,GL,clear sky
250,Kousseri,12.0769,15.0306,80.92,63,100,6.89,CM,overcast clouds
251,Sitka,57.0531,-135.33,58.69,63,100,6.64,US,overcast clouds
252,Kununurra,-15.7667,128.7333,87.78,62,2,4.61,AU,clear sky
253,Salamanca,40.8333,-6.0,65.62,36,0,2.75,ES,clear sky
254,Gorontalo,0.5412,123.0595,87.04,66,90,0.63,ID,overcast clouds
255,Isangel,-19.55,169.2667,78.91,83,75,6.91,VU,broken clouds
256,Qaqortoq,60.7167,-46.0333,34.59,96,100,9.69,GL,light snow
257,Taber,49.8167,-112.1518,75.4,37,9,4.61,CA,clear sky
258,Anadyr,64.75,177.4833,34.3,69,75,11.18,RU,broken clouds
259,Bonavista,48.6499,-53.1147,51.06,77,0,19.44,CA,clear sky
260,Princeton,25.5384,-80.4089,80.62,74,20,9.22,US,few clouds
261,Sladkovo,55.5284,70.3385,40.98,89,48,8.86,RU,scattered clouds
262,Tarko-Sale,64.9225,77.785,36.45,96,100,16.4,RU,overcast clouds
263,Itaituba,-4.2761,-55.9836,77.7,70,8,1.34,BR,clear sky
264,Saint-Pierre,-21.3393,55.4781,67.68,68,100,6.91,RE,overcast clouds
265,Los Cedrales,-25.65,-54.7,70.09,71,0,2.55,PY,clear sky
266,Uglovskoye,51.3557,80.1942,31.84,60,57,5.32,RU,broken clouds
267,Banjar,-8.19,114.9675,83.12,72,58,5.12,ID,broken clouds
268,Dubbo,-32.25,148.6167,55.53,88,100,17.27,AU,moderate rain
269,Chara,56.9064,118.2631,21.81,64,26,3.27,RU,scattered clouds
270,Ures,29.4333,-110.4,80.47,47,0,6.6,MX,clear sky
271,Mount Isa,-20.7333,139.5,78.57,69,75,11.5,AU,broken clouds
272,Panyutyne,48.9333,36.2833,46.4,74,16,9.71,UA,few clouds
273,Vostok,46.4856,135.8833,32.7,49,8,10.71,RU,clear sky
274,Upington,-28.4478,21.2561,59.38,23,0,3.44,ZA,clear sky
275,Vardo,70.3705,31.1107,44.58,87,75,11.5,NO,broken clouds
276,Mehamn,71.0357,27.8492,42.75,87,100,4.61,NO,overcast clouds
277,Cabo San Lucas,22.8909,-109.9124,85.3,74,0,7.43,MX,clear sky
278,Cascais,38.6979,-9.4215,71.96,45,0,1.99,PT,clear sky
279,Soskovo,52.7475,35.3828,43.83,92,100,11.7,RU,light rain
280,Eyl,7.9803,49.8164,76.1,83,35,11.18,SO,scattered clouds
281,Pueblo Nuevo,23.3833,-105.3833,55.15,95,30,0.67,MX,scattered clouds
282,Zaragoza,41.6561,-0.8773,65.01,79,0,5.75,ES,clear sky
283,Torbay,47.6666,-52.7314,50.58,85,0,24.16,CA,clear sky
284,Ancud,-41.8697,-73.8203,47.19,92,27,4.79,CL,scattered clouds
285,Umea,63.8284,20.2597,48.13,87,20,12.66,SE,moderate rain
286,Rawson,-43.3002,-65.1023,64.15,37,99,9.31,AR,overcast clouds
287,Tahoua,14.8888,5.2692,80.58,69,0,4.61,NE,clear sky
288,Kismayo,-0.3582,42.5454,76.37,86,6,10.54,SO,clear sky
289,Livingston,55.9029,-3.5226,57.13,94,75,6.91,GB,moderate rain
290,Tateyama,34.9833,139.8667,75.13,78,75,8.05,JP,light rain
291,El Corozal,15.0667,-88.6167,76.84,92,41,1.43,HN,scattered clouds
292,Xuddur,4.1213,43.8894,71.96,79,73,11.61,SO,broken clouds
293,Guerrero Negro,27.9769,-114.0611,71.4,74,2,12.03,MX,clear sky
294,Zhanaozen,43.3,52.8,56.8,17,0,18.28,KZ,clear sky
295,La Libertad,-2.2333,-80.9,68.27,83,100,14.0,EC,overcast clouds
296,Goderich,43.7501,-81.7165,53.91,87,8,3.44,CA,clear sky
297,Komono,35.0,136.5167,72.41,89,100,7.07,JP,overcast clouds
298,Prince Rupert,54.3161,-130.3201,60.89,77,100,11.5,CA,overcast clouds
299,Kloulklubed,7.0419,134.2556,82.9,78,100,7.29,PW,overcast clouds
300,Valle Hermoso,25.6667,-97.8333,78.93,56,8,12.55,MX,clear sky
301,Matagami,49.7502,-77.6328,55.51,94,100,2.3,CA,overcast clouds
302,Itarema,-2.9248,-39.9167,77.54,79,91,15.61,BR,overcast clouds
303,Bilibino,68.0546,166.4372,24.91,67,29,4.76,RU,scattered clouds
304,Bethel,41.3712,-73.414,55.49,87,100,6.91,US,overcast clouds
305,Nizhniy Baskunchak,48.2198,46.8311,56.89,79,100,9.86,RU,overcast clouds
306,Kodiak,57.79,-152.4072,53.11,87,100,19.57,US,moderate rain
307,Redding,40.5865,-122.3917,89.38,30,55,1.99,US,broken clouds
308,Vadso,70.0744,29.7487,44.76,81,100,9.22,NO,overcast clouds
309,Oakdale,44.963,-92.9649,70.43,58,0,4.61,US,clear sky
310,Isla Mujeres,21.2311,-86.731,78.17,61,80,11.59,MX,broken clouds
311,West Wendover,40.7391,-114.0733,72.61,25,0,8.05,US,clear sky
312,Libenge,3.65,18.6333,69.96,97,100,1.36,CD,overcast clouds
313,Oswego,43.4501,-76.1497,53.53,86,100,4.63,US,overcast clouds
